gene_id,d0,d2,d4,d6,d10,d15,d20,d40,d60
ENSG00000007314,2.02,1.25,1.04,0.51,0.63,0.27,0.15,0.02,0.15
ENSG00000007341,16.4,15.7,17.26,16.36,12.01,18.19,18.19,15.21,18.39
ENSG00000007350,0.0,0.0,0.0,0.0,0.81,0.16,0.18,0.58,0.21
ENSG00000007372,0.14,0.06,0.0,0.0,0.1,0.18,0.28,0.09,2.13
ENSG00000007376,23.87,18.48,15.75,12.11,12.58,12.04,14.62,9.96,8.15
ENSG00000007384,17.79,39.48,22.33,25.96,30.46,18.91,9.76,18.47,22.13
ENSG00000007392,86.7,65.46,74.44,61.44,59.86,45.53,30.76,33.94,34.62
ENSG00000007402,11.13,16.11,13.95,6.53,7.15,5.5,4.04,1.63,1.63
ENSG00000007516,1.82,7.92,10.93,4.46,2.48,1.04,0.56,1.14,1.12
ENSG00000007520,40.89,46.96,52.45,52.33,47.2,45.36,49.78,46.13,43.09
ENSG00000007541,10.54,24.14,37.27,26.25,27.97,25.23,14.02,19.72,14.77
ENSG00000007545,9.28,11.35,13.26,13.34,11.79,10.46,9.35,13.2,11.79
ENSG00000007866,22.08,19.59,32.79,56.66,46.92,48.94,52.31,63.0,60.13
ENSG00000007908,0.0,0.0,0.0,0.1,0.0,0.13,0.18,0.02,0.0
ENSG00000007923,79.27,57.85,45.64,51.45,35.47,40.3,59.52,36.24,38.16
ENSG00000007933,0.03,0.0,0.0,0.0,0.14,0.14,0.0,0.03,0.12
ENSG00000007944,10.69,5.29,24.82,50.62,128.38,47.56,19.45,23.42,23.31
ENSG00000007952,0.0,0.0,0.0,0.0,0.09,0.1,1.11,0.34,0.13
ENSG00000007968,2.17,2.12,2.59,1.52,1.23,1.72,2.73,1.25,0.35
ENSG00000008018,233.68,253.74,219.84,250.25,160.6,160.61,192.4,116.8,105.88
ENSG00000008056,16.42,13.66,5.31,5.8,9.16,11.36,9.84,15.14,12.45
ENSG00000008083,107.26,55.81,37.77,27.05,13.46,11.13,4.51,7.12,4.99
ENSG00000008086,7.46,8.03,6.9,6.26,5.15,4.42,4.11,6.96,5.24
ENSG00000008118,0.22,0.31,0.98,4.76,3.37,1.96,0.28,1.28,1.07
ENSG00000008128,31.52,25.97,26.46,30.1,24.51,16.51,19.27,15.31,16.78
ENSG00000008130,42.8,47.4,49.14,42.66,46.74,30.56,25.64,26.56,32.07
ENSG00000008196,0.0,0.0,0.09,0.12,0.57,0.11,0.11,0.0,0.0
ENSG00000008197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000008226,0.44,1.78,3.43,0.33,0.34,0.43,0.11,0.18,0.57
ENSG00000008256,10.52,10.67,15.52,13.34,25.28,15.92,13.08,22.85,25.59
ENSG00000008277,10.18,5.25,6.17,6.17,2.83,2.18,1.44,1.5,2.55
ENSG00000008282,67.02,91.88,64.03,62.3,57.21,51.48,52.32,62.29,69.2
ENSG00000008283,13.85,9.84,10.14,3.84,4.52,3.37,3.58,5.09,6.87
ENSG00000008294,37.11,47.38,22.57,36.54,39.0,38.22,37.08,47.14,51.99
ENSG00000008300,10.5,9.84,7.68,5.93,3.28,2.82,1.0,2.39,1.94
