gene_id,d0,d2,d4,d6,d10,d15,d20,d40,d60
ENSG00000008128,34.35,25.56,30.54,28.49,27.49,18.96,25.15,14.72,16.45
ENSG00000008130,42.49,46.65,45.75,53.6,42.26,30.28,42.89,21.75,21.91
ENSG00000008196,0.33,0.09,0.0,0.76,0.82,3.66,1.95,0.0,0.0
ENSG00000008197,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0
ENSG00000008226,0.68,0.5,0.47,0.62,0.33,0.37,0.25,0.27,0.3
ENSG00000008256,10.0,10.16,18.43,19.45,12.5,15.29,18.46,22.7,20.21
ENSG00000008277,9.32,3.85,6.51,5.96,1.86,2.71,1.84,1.98,2.03
ENSG00000008282,57.01,62.47,51.08,65.47,63.71,41.86,54.49,45.29,68.17
ENSG00000008283,10.27,6.82,5.58,3.51,5.3,6.07,8.44,3.65,6.67
ENSG00000008294,35.22,39.15,24.99,35.47,42.98,31.34,34.51,37.17,43.07
ENSG00000008300,9.57,10.69,9.78,7.97,2.54,4.33,3.66,1.56,1.28
ENSG00000008311,272.62,52.07,68.38,51.45,31.58,27.15,26.23,33.57,26.51
ENSG00000008323,13.62,13.79,5.67,4.87,17.68,5.82,2.62,0.47,0.29
ENSG00000008324,64.11,36.21,26.51,19.34,18.47,15.7,15.63,9.8,8.98
ENSG00000008382,10.84,22.25,28.47,17.13,11.7,14.27,14.29,11.32,9.86
ENSG00000008394,558.3,263.73,174.43,166.47,114.86,144.54,108.24,53.27,39.44
ENSG00000008405,24.65,14.28,16.07,25.32,23.16,16.27,19.41,15.28,13.01
ENSG00000008438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000008441,0.17,0.11,0.06,0.23,0.29,0.86,4.76,25.64,61.03
ENSG00000008513,4.49,9.64,76.07,86.5,129.84,70.94,64.74,60.77,63.03
ENSG00000008516,7.53,6.67,2.09,0.77,0.11,0.46,0.25,0.0,0.08
ENSG00000008517,3.41,0.76,0.24,7.62,29.0,10.43,60.62,13.03,14.43
ENSG00000008710,12.04,22.84,35.72,38.26,25.69,25.72,27.64,30.54,37.79
ENSG00000008735,2.45,9.23,3.28,8.94,4.62,5.0,3.89,0.94,0.99
ENSG00000008838,63.33,74.02,91.13,83.99,74.57,67.06,69.12,55.26,50.39
ENSG00000008853,6.23,11.64,14.78,18.17,27.15,22.69,21.99,40.01,40.77
ENSG00000008869,7.67,7.69,9.87,15.38,12.14,9.23,9.81,9.1,8.19
ENSG00000008952,113.22,80.41,94.77,103.3,130.12,82.31,90.99,95.57,117.43
ENSG00000008988,1935.81,2363.19,2145.64,1854.19,1850.76,1552.9,1306.46,1184.1,1154.75
ENSG00000009307,639.62,452.54,547.37,671.45,707.33,462.03,508.17,398.04,437.16
ENSG00000009335,37.72,31.94,32.3,35.24,24.15,29.35,42.42,33.08,35.63
ENSG00000009413,7.56,4.28,8.65,7.21,10.37,9.21,7.63,21.55,14.22
ENSG00000009694,0.61,0.74,0.34,0.31,0.46,0.19,0.2,0.61,0.56
ENSG00000009709,0.1,0.29,0.69,0.49,0.03,0.04,0.0,0.05,0.0
ENSG00000009724,0.49,0.3,0.03,0.0,0.03,0.08,0.12,0.0,0.0
ENSG00000009765,0.0,0.0,0.0,0.16,0.41,0.41,0.0,0.05,0.02
ENSG00000009780,8.53,7.56,7.24,9.69,8.29,4.42,6.6,6.9,8.3
ENSG00000009790,0.0,0.0,0.27,0.57,0.3,0.5,0.16,0.02,0.32
ENSG00000009830,20.44,28.54,21.38,33.79,42.68,24.99,33.12,25.02,22.22
ENSG00000009844,67.39,52.1,45.52,41.32,39.79,48.01,51.8,54.31,51.28
ENSG00000009950,2.84,1.98,2.99,1.2,0.79,0.8,0.11,0.12,0.0
ENSG00000009954,60.74,57.99,61.61,45.04,43.3,40.41,54.06,38.69,35.1
ENSG00000010017,30.28,27.18,37.27,57.37,67.48,34.27,46.76,41.95,41.27
ENSG00000010030,0.57,0.19,0.05,0.12,0.27,0.0,0.3,0.12,0.33
ENSG00000010072,12.29,11.65,12.36,6.61,5.01,8.77,14.71,11.54,7.29
ENSG00000010165,47.02,45.1,30.84,27.65,17.49,21.02,24.25,14.58,14.1
ENSG00000010219,5.35,6.09,21.0,40.36,45.5,40.35,41.13,31.38,34.09
ENSG00000010244,214.32,166.33,191.08,136.43,130.32,99.95,121.73,86.7,83.08
ENSG00000010256,175.17,157.19,136.32,133.48,172.68,215.77,236.06,208.58,173.12
ENSG00000010270,44.41,44.28,48.62,60.32,59.15,57.89,56.87,40.19,35.68
ENSG00000010278,139.47,98.22,30.18,25.11,131.53,45.27,33.78,9.77,21.84
ENSG00000010282,0.37,0.1,0.0,1.01,1.4,3.41,0.6,36.04,70.12
ENSG00000010292,80.37,103.31,96.54,90.2,55.56,50.72,45.65,17.85,22.58
ENSG00000010295,6.94,8.42,14.59,15.02,16.94,8.98,13.05,8.96,11.59
ENSG00000010310,0.4,0.31,4.58,12.09,14.4,7.06,6.97,3.29,1.74
ENSG00000010318,10.35,13.81,8.83,9.26,7.8,15.24,7.71,11.56,8.4
ENSG00000010319,1.55,3.58,3.33,1.47,1.13,1.73,0.86,0.56,0.76
ENSG00000010322,28.25,47.32,84.37,97.02,96.36,76.58,74.6,56.42,46.16
ENSG00000010327,0.32,0.59,0.97,0.64,0.79,2.3,0.0,0.38,0.46
ENSG00000010361,15.87,26.69,20.92,25.65,22.87,21.01,13.91,14.06,13.73
