gene_id,d0,d2,d4,d10,d15,d20,d40,d60
ENSG00000008300,2.97,8.33,8.39,4.37,3.44,4.39,2.35,1.66
ENSG00000008311,102.7,43.24,76.0,33.53,25.21,25.01,24.43,40.92
ENSG00000008323,3.64,10.6,5.66,0.96,4.51,0.71,0.05,0.08
ENSG00000008324,32.97,56.54,37.58,17.3,16.95,12.38,12.98,12.39
ENSG00000008382,6.48,16.95,24.5,19.2,14.96,9.72,12.08,18.49
ENSG00000008394,360.25,251.71,250.49,153.38,122.62,161.54,51.49,37.73
ENSG00000008405,11.93,19.96,18.15,13.76,14.14,18.08,12.28,22.65
ENSG00000008438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000008441,0.2,0.03,0.11,0.14,3.22,7.24,17.54,40.4
ENSG00000008513,2.43,6.98,18.87,29.72,61.98,71.03,54.0,98.18
ENSG00000008516,7.3,16.8,3.53,0.12,0.06,0.02,0.23,0.18
ENSG00000008517,0.9,0.72,0.11,7.42,18.05,24.38,8.35,10.39
ENSG00000008710,6.16,18.93,21.55,24.21,40.87,38.43,43.01,60.95
ENSG00000008735,1.32,2.93,2.93,0.55,2.14,1.71,0.23,0.34
ENSG00000008838,28.44,90.14,94.65,103.03,74.66,71.92,58.18,77.18
ENSG00000008853,2.43,16.37,13.28,47.67,37.66,28.16,86.12,46.53
ENSG00000008869,5.2,8.24,12.18,6.99,10.07,9.38,11.01,8.12
ENSG00000008952,105.32,85.88,121.77,66.61,87.83,73.95,68.75,93.19
ENSG00000008988,2801.28,2087.04,1768.99,1405.42,1645.39,1146.26,1659.4,1336.2
ENSG00000009307,542.71,568.92,629.53,496.95,490.61,415.4,518.71,468.14
ENSG00000009335,20.66,35.73,38.17,26.51,28.97,44.56,31.39,44.08
ENSG00000009413,2.46,5.88,10.71,9.02,10.49,13.58,12.92,19.11
ENSG00000009694,0.14,0.57,0.35,0.34,0.52,0.11,0.04,0.2
ENSG00000009709,0.04,0.37,0.39,0.02,0.0,0.0,0.0,0.0
ENSG00000009724,0.03,0.08,0.0,0.03,1.19,0.04,0.0,0.0
ENSG00000009765,0.0,0.0,0.0,0.0,1.47,0.0,0.0,0.0
ENSG00000009780,9.32,9.34,9.71,8.7,6.38,6.77,7.63,12.75
ENSG00000009790,0.0,0.0,0.0,0.0,0.22,0.04,0.16,0.38
ENSG00000009830,11.47,24.35,27.76,26.32,16.71,19.58,14.49,12.54
ENSG00000009844,54.96,59.39,74.78,40.52,40.62,42.2,44.19,46.09
ENSG00000009950,1.61,1.24,7.28,0.83,5.56,0.02,0.13,0.02
ENSG00000009954,57.39,70.85,82.09,33.9,38.97,47.56,29.64,53.3
ENSG00000010017,21.17,34.69,45.3,38.02,44.46,44.0,52.04,50.97
ENSG00000010030,0.12,0.38,0.05,0.16,0.26,0.27,0.13,0.15
ENSG00000010072,8.12,12.55,15.27,7.62,8.52,14.35,6.81,13.04
ENSG00000010165,25.41,47.19,37.96,21.64,15.49,18.9,13.11,16.39
ENSG00000010219,3.89,8.9,11.42,34.38,47.15,36.8,38.14,32.33
ENSG00000010244,183.56,232.36,274.06,94.43,106.43,99.4,56.71,83.29
ENSG00000010256,79.47,176.75,178.07,277.44,204.57,290.94,226.44,213.58
ENSG00000010270,26.13,52.89,60.59,60.96,60.48,63.91,48.37,52.67
ENSG00000010278,133.46,135.0,39.46,15.79,18.96,18.58,26.34,37.79
ENSG00000010282,0.09,0.1,0.0,37.91,6.04,2.7,67.57,71.1
ENSG00000010292,46.95,88.93,86.72,24.83,39.1,34.04,31.61,26.71
ENSG00000010295,3.26,7.32,9.28,9.22,13.86,12.21,10.91,16.79
ENSG00000010310,0.09,0.11,1.49,8.61,10.71,5.42,4.3,4.14
ENSG00000010318,5.99,4.96,15.6,36.28,19.48,13.15,19.29,11.62
ENSG00000010319,0.64,1.41,29.37,3.48,4.2,1.16,2.29,3.29
