gene_id,heart18_0,heart18_2,heart18_4,heart18_6,heart18_10,heart18_15,heart18_20,heart18_40,heart18_60
ENSG00000013375,1884,2226,2006,2533,2253,2167,2795,2338,2048
ENSG00000013392,193,174,299,444,352,509,435,362,346
ENSG00000013441,927,789,852,921,1480,760,552,794,1345
ENSG00000013503,943,643,669,810,695,730,720,573,586
ENSG00000013523,697.08,543.43,1052.57,665.12,938.69,1028.61,439.3,562.21,418.36
ENSG00000013561,580,730,552,1265,1144,1324,2250,1046,940.99
ENSG00000013563,188,281,300,294,555,626,583,699,582
ENSG00000013573,2275.05,1687.71,1837.64,800.9,397.26,357.58,607.97,294.1,176.28
ENSG00000013583,614,350,594,448,924,960,781,680,659
ENSG00000013588,31,11,3,3,67,199,415,141,72
ENSG00000013619,7,188,30,3,4,18,63,198,112
ENSG00000013725,4,8,16,4,11,26,4,8,7
ENSG00000013810,4293,3888,4253,2551,1016,965,2714,681,234
ENSG00000014123,658,927,942,1213,1330,1437,1233,1322,1312
ENSG00000014138,472.22,771.91,805.95,343.39,236.54,273.54,680.44,291.06,117.56
ENSG00000014164,650,609,804,616,584,628,546,614,477
ENSG00000014216,3006,3330,3166,2909,3663,3494,3033,2907,2344
ENSG00000014257,10,202,1098,1014,294,105,68,52,53
ENSG00000014641,6811,4142,4110,4954,7148,12183,18762,8592,7550
ENSG00000014824,2483,2008,2250,2482,1697,2035,2357,1509,1312
ENSG00000014914,44,48,51,132,496,314,88,208,302
ENSG00000014919,1168.83,1045.38,1078.89,967.37,1069.8,1116.15,1123.9,792.54,696.8
ENSG00000015133,1341,1138,912,188,70,84,15,17,19
ENSG00000015153,52,241,222,495,277,572,799,585,440
ENSG00000015171,1141,910,1336,1928,1935,2523,3010,3123,3183
ENSG00000015285,10,4,14,6,16,13,4,10,1
ENSG00000015413,228,77,68,83,176,140,18,1,0
ENSG00000015475,550,214,299,167,199,286,337,174,143
ENSG00000015479,18159.07,14903.25,12799,15580.81,9477.14,10835.84,10617.32,8969.75,7918.21
ENSG00000015520,2,19,119,41,39,30,2,0,1
ENSG00000015532,556,596,1039,642,848,911,737,816,615
ENSG00000015568,55.28,1252.6,47.23,392.52,65.63,596.61,867.44,68.25,42.56
ENSG00000015592,19,0,1,0,0,0,0,0,0
ENSG00000015676,1291,1522,1953,1674,1565,1952,1598,2159,1872
ENSG00000016082,1,34,1400,892,241,169,71,38,17
ENSG00000016391,345,282,490,282,230,291,269,251,117
ENSG00000016402,48,22,50,7,31,18,15,106,102
ENSG00000016490,0,0,55,33,1,0,2,0,0
ENSG00000016602,0,0,0,0,0,1,0,0,0
ENSG00000016864,625,734,1105,987,1232,1374,1077,1258,1113
ENSG00000017260,3326,2662,2947,2847,2737,3034,3682,2383,1964
ENSG00000017427,0,1,402,24,7,48,85,1775,4284
ENSG00000017483,1178,425,91,13,51,19,21,37,36
ENSG00000017797,2794,3073,2836,2897,1976,2396,2482,2282,1868
