gene_id,d0,d2,d4,d6,d10,d15,d20,d40,d60
ENSG00000011347,7.17,5.37,5.72,9.22,24.16,19.58,2.41,9.74,5.7
ENSG00000011376,32.07,20.43,29.22,23.63,31.91,23.32,31.68,16.86,14.05
ENSG00000011405,66.87,11.26,39.8,37.94,25.57,30.87,24.65,26.44,29.97
ENSG00000011422,11.67,16.11,15.87,9.1,3.72,2.9,9.87,4.86,3.51
ENSG00000011426,119.34,37.01,82.51,69.25,41.03,33.28,140.59,35.7,19.85
ENSG00000011451,16.51,29.67,32.37,26.64,29.27,23.21,27.51,25.3,24.88
ENSG00000011454,21.53,12.63,29.85,31.75,37.39,30.65,42.43,33.8,40.41
ENSG00000011465,1.02,0.44,0.45,0.67,29.93,82.29,31.6,38.91,439.68
ENSG00000011478,4.67,13.04,6.51,6.05,7.42,3.94,3.89,4.93,5.1
ENSG00000011485,78.8,117.35,88.6,95.52,76.73,57.84,96.56,63.8,60.56
ENSG00000011523,9.97,9.87,16.31,12.19,12.22,11.47,10.43,13.82,18.47
ENSG00000011566,41.2,10.52,28.07,22.92,20.03,24.1,31.83,33.65,28.63
ENSG00000011590,0.07,0.03,0.04,0.0,0.0,0.0,0.0,0.0,0.12
ENSG00000011600,0.0,0.18,0.14,0.14,0.38,0.0,0.0,0.0,0.0
